ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-29,116.89545,127.50500015602549,170.13649593352812,116.89545,116.89545,32.135247256373795,32.135247256373795,32.135247256373795,39.50344987786724,39.50344987786724,39.50344987786724,-7.368202621493448,-7.368202621493448,-7.368202621493448,0.0,0.0,0.0,149.0306972563738
2011-01-30,116.85376594716494,125.44293035676914,167.67582587704456,116.85376594716494,116.85376594716494,30.393979352630712,30.393979352630712,30.393979352630712,37.44986103965914,37.44986103965914,37.44986103965914,-7.055881687028432,-7.055881687028432,-7.055881687028432,0.0,0.0,0.0,147.24774529979567
2011-01-31,116.8120818943299,78.83530994412483,121.52686408828036,116.8120818943299,116.8120818943299,-16.52394738797816,-16.52394738797816,-16.52394738797816,-9.78556423326744,-9.78556423326744,-9.78556423326744,-6.738383154710724,-6.738383154710724,-6.738383154710724,0.0,0.0,0.0,100.28813450635175
2011-02-01,116.77039784149484,66.48293613870979,106.97688346058473,116.77039784149484,116.77039784149484,-29.66048589736693,-29.66048589736693,-29.66048589736693,-23.24440568963865,-23.24440568963865,-23.24440568963865,-6.416080207728278,-6.416080207728278,-6.416080207728278,0.0,0.0,0.0,87.10991194412792
2011-02-02,116.72871378865979,64.37339121672782,107.36652954296545,116.72871378865979,116.72871378865979,-30.271017674776694,-30.271017674776694,-30.271017674776694,-24.18128721399618,-24.18128721399618,-24.18128721399618,-6.089730460780511,-6.089730460780511,-6.089730460780511,0.0,0.0,0.0,86.45769611388309
2011-02-03,116.68702973582474,67.61448910076405,109.71708678326829,116.68702973582474,116.68702973582474,-27.701942395201094,-27.701942395201094,-27.701942395201094,-21.941419500024068,-21.941419500024068,-21.941419500024068,-5.760522895177025,-5.760522895177025,-5.760522895177025,0.0,0.0,0.0,88.98508734062364
2011-02-04,116.6453456829897,91.84291009568261,134.54548312332565,116.6453456829897,116.6453456829897,-3.230741464364424,-3.230741464364424,-3.230741464364424,2.1993657194013254,2.1993657194013254,2.1993657194013254,-5.430107183765748,-5.430107183765748,-5.430107183765748,0.0,0.0,0.0,113.41460421862527
2011-02-05,116.60366163015463,130.7290247567898,172.01742614005653,116.60366163015463,116.60366163015463,34.40284620914465,34.40284620914465,34.40284620914465,39.50344987784605,39.50344987784605,39.50344987784605,-5.1006036687014005,-5.1006036687014005,-5.1006036687014005,0.0,0.0,0.0,151.00650783929927
2011-02-06,116.56197757731958,127.51761917547012,169.0709394538226,116.56197757731958,116.56197757731958,32.675268121090184,32.675268121090184,32.675268121090184,37.44986103963544,37.44986103963544,37.44986103963544,-4.774592918545246,-4.774592918545246,-4.774592918545246,0.0,0.0,0.0,149.23724569840977
2011-02-07,116.52029352448453,81.01825594181933,124.22080786164334,116.52029352448453,116.52029352448453,-14.240648731561674,-14.240648731561674,-14.240648731561674,-9.785564233294831,-9.785564233294831,-9.785564233294831,-4.455084498266845,-4.455084498266845,-4.455084498266845,0.0,0.0,0.0,102.27964479292285
2011-02-08,116.47860947164949,69.0665197226532,111.76925761653258,116.47860947164949,116.47860947164949,-27.389871003339486,-27.389871003339486,-27.389871003339486,-23.244405689633187,-23.244405689633187,-23.244405689633187,-4.145465313706301,-4.145465313706301,-4.145465313706301,0.0,0.0,0.0,89.08873846831
