ds,Halloween,SuperBowl,sell_price,y
2011-01-29,0,0,169.98333333333332,142.5
2011-01-30,0,0,169.98333333333332,155.33333333333334
2011-01-31,0,0,169.98333333333332,98.83333333333333
2011-02-01,0,0,169.98333333333332,137.5
2011-02-02,0,0,169.98333333333332,89.66666666666667
2011-02-03,0,0,169.98333333333332,107.83333333333333
2011-02-04,0,0,169.98333333333332,110.0
2011-02-05,0,0,184.97,183.66666666666666
2011-02-06,0,1,184.97,164.33333333333334
2011-02-07,0,0,184.97,125.83333333333333
2011-02-08,0,0,184.97,104.33333333333333
2011-02-09,0,0,184.97,97.16666666666667
2011-02-10,0,0,184.97,134.0
2011-02-11,0,0,184.97,127.16666666666667
2011-02-12,0,0,192.4316666666667,164.16666666666666
2011-02-13,0,0,192.4316666666667,165.0
2011-02-14,0,0,192.4316666666667,120.0
2011-02-15,0,0,192.4316666666667,88.33333333333333
2011-02-16,0,0,192.4316666666667,103.0
2011-02-17,0,0,192.4316666666667,88.66666666666667
2011-02-18,0,0,192.4316666666667,127.0
2011-02-19,0,0,196.96333333333337,159.83333333333334
2011-02-20,0,0,196.96333333333337,155.33333333333334
2011-02-21,0,0,196.96333333333337,125.0
2011-02-22,0,0,196.96333333333337,90.33333333333333
2011-02-23,0,0,196.96333333333337,84.66666666666667
2011-02-24,0,0,196.96333333333337,93.5
2011-02-25,0,0,196.96333333333337,106.66666666666667
2011-02-26,0,0,198.34833333333336,154.0
2011-02-27,0,0,198.34833333333336,154.66666666666666
2011-02-28,0,0,198.34833333333336,93.33333333333333
2011-03-01,0,0,198.34833333333336,103.83333333333333
2011-03-02,0,0,198.34833333333336,96.33333333333333
2011-03-03,0,0,198.34833333333336,109.83333333333333
2011-03-04,0,0,198.34833333333336,117.66666666666667
2011-03-05,0,0,200.70833333333337,148.33333333333334
2011-03-06,0,0,200.70833333333337,160.16666666666666
2011-03-07,0,0,200.70833333333337,110.16666666666667
2011-03-08,0,0,200.70833333333337,94.66666666666667
2011-03-09,0,0,200.70833333333337,92.0
2011-03-10,0,0,200.70833333333337,101.66666666666667
2011-03-11,0,0,200.70833333333337,109.66666666666667
2011-03-12,0,0,208.96333333333337,122.0
2011-03-13,0,0,208.96333333333337,157.83333333333334
2011-03-14,0,0,208.96333333333337,113.16666666666667
2011-03-15,0,0,208.96333333333337,90.0
2011-03-16,0,0,208.96333333333337,96.66666666666667
2011-03-17,0,0,208.96333333333337,97.33333333333333
2011-03-18,0,0,208.96333333333337,101.33333333333333
2011-03-19,0,0,209.33500000000004,165.0
2011-03-20,0,0,209.33500000000004,152.66666666666666
2011-03-21,0,0,209.33500000000004,95.5
2011-03-22,0,0,209.33500000000004,94.0
2011-03-23,0,0,209.33500000000004,75.0
2011-03-24,0,0,209.33500000000004,80.33333333333333
2011-03-25,0,0,209.33500000000004,122.33333333333333
2011-03-26,0,0,212.11833333333337,144.5
2011-03-27,0,0,212.11833333333337,141.66666666666666
2011-03-28,0,0,212.11833333333337,104.16666666666667
2011-03-29,0,0,212.11833333333337,87.0
2011-03-30,0,0,212.11833333333337,79.0
2011-03-31,0,0,212.11833333333337,95.33333333333333
2011-04-01,0,0,212.11833333333337,122.66666666666667
2011-04-02,0,0,214.6533333333334,149.66666666666666
2011-04-03,0,0,214.6533333333334,158.83333333333334
2011-04-04,0,0,214.6533333333334,134.5
2011-04-05,0,0,214.6533333333334,108.16666666666667
2011-04-06,0,0,214.6533333333334,99.0
2011-04-07,0,0,214.6533333333334,98.5
2011-04-08,0,0,214.6533333333334,116.0
2011-04-09,0,0,217.0933333333334,149.83333333333334
2011-04-10,0,0,217.0933333333334,140.16666666666666
2011-04-11,0,0,217.0933333333334,95.5
2011-04-12,0,0,217.0933333333334,90.5
2011-04-13,0,0,217.0933333333334,74.0
2011-04-14,0,0,217.0933333333334,97.66666666666667
2011-04-15,0,0,217.0933333333334,108.83333333333333
2011-04-16,0,0,218.4383333333334,145.16666666666666
2011-04-17,0,0,218.4383333333334,144.0
2011-04-18,0,0,218.4383333333334,96.0
2011-04-19,0,0,218.4383333333334,82.33333333333333
2011-04-20,0,0,218.4383333333334,92.66666666666667
2011-04-21,0,0,218.4383333333334,100.5
2011-04-22,0,0,218.4383333333334,115.16666666666667
2011-04-23,0,0,221.03166666666672,152.5
2011-04-24,0,0,221.03166666666672,118.33333333333333
2011-04-25,0,0,221.03166666666672,100.66666666666667
2011-04-26,0,0,221.03166666666672,82.66666666666667
2011-04-27,0,0,221.03166666666672,81.66666666666667
2011-04-28,0,0,221.03166666666672,81.16666666666667
2011-04-29,0,0,221.03166666666672,113.33333333333333
2011-04-30,0,0,223.46166666666673,136.16666666666666
2011-05-01,0,0,223.46166666666673,146.0
2011-05-02,0,0,223.46166666666673,101.16666666666667
2011-05-03,0,0,223.46166666666673,104.66666666666667
2011-05-04,0,0,223.46166666666673,100.33333333333333
2011-05-05,0,0,223.46166666666673,94.16666666666667
2011-05-06,0,0,223.46166666666673,116.83333333333333
2011-05-07,0,0,228.74833333333336,137.16666666666666
2011-05-08,0,0,228.74833333333336,118.5
2011-05-09,0,0,228.74833333333336,99.16666666666667
2011-05-10,0,0,228.74833333333336,95.83333333333333
2011-05-11,0,0,228.74833333333336,89.83333333333333
2011-05-12,0,0,228.74833333333336,95.16666666666667
2011-05-13,0,0,228.74833333333336,114.16666666666667
2011-05-14,0,0,228.23000000000005,134.83333333333334
2011-05-15,0,0,228.23000000000005,158.33333333333334
2011-05-16,0,0,228.23000000000005,82.33333333333333
2011-05-17,0,0,228.23000000000005,77.16666666666667
2011-05-18,0,0,228.23000000000005,79.5
2011-05-19,0,0,228.23000000000005,93.16666666666667
2011-05-20,0,0,228.23000000000005,108.83333333333333
2011-05-21,0,0,228.10500000000005,135.66666666666666
2011-05-22,0,0,228.10500000000005,134.66666666666666
2011-05-23,0,0,228.10500000000005,85.83333333333333
2011-05-24,0,0,228.10500000000005,72.0
2011-05-25,0,0,228.10500000000005,76.5
2011-05-26,0,0,228.10500000000005,88.66666666666667
2011-05-27,0,0,228.10500000000005,111.16666666666667
2011-05-28,0,0,228.94333333333338,120.33333333333333
2011-05-29,0,0,228.94333333333338,113.33333333333333
2011-05-30,0,0,228.94333333333338,120.66666666666667
2011-05-31,0,0,228.94333333333338,92.66666666666667
2011-06-01,0,0,228.94333333333338,99.66666666666667
2011-06-02,0,0,228.94333333333338,105.66666666666667
2011-06-03,0,0,228.94333333333338,115.0
2011-06-04,0,0,230.10333333333338,142.16666666666666
2011-06-05,0,0,230.10333333333338,138.83333333333334
2011-06-06,0,0,230.10333333333338,101.33333333333333
2011-06-07,0,0,230.10333333333338,101.66666666666667
2011-06-08,0,0,230.10333333333338,105.33333333333333
2011-06-09,0,0,230.10333333333338,108.0
2011-06-10,0,0,230.10333333333338,131.5
2011-06-11,0,0,230.09666666666672,137.16666666666666
2011-06-12,0,0,230.09666666666672,145.33333333333334
2011-06-13,0,0,230.09666666666672,121.83333333333333
2011-06-14,0,0,230.09666666666672,96.33333333333333
2011-06-15,0,0,230.09666666666672,106.0
2011-06-16,0,0,230.09666666666672,104.5
2011-06-17,0,0,230.09666666666672,101.66666666666667
2011-06-18,0,0,230.4033333333334,139.0
2011-06-19,0,0,230.4033333333334,123.83333333333333
2011-06-20,0,0,230.4033333333334,102.5
2011-06-21,0,0,230.4033333333334,101.66666666666667
2011-06-22,0,0,230.4033333333334,97.33333333333333
2011-06-23,0,0,230.4033333333334,91.33333333333333
2011-06-24,0,0,230.4033333333334,110.16666666666667
2011-06-25,0,0,231.0916666666667,116.0
2011-06-26,0,0,231.0916666666667,138.66666666666666
2011-06-27,0,0,231.0916666666667,109.83333333333333
2011-06-28,0,0,231.0916666666667,75.83333333333333
2011-06-29,0,0,231.0916666666667,88.83333333333333
2011-06-30,0,0,231.0916666666667,98.16666666666667
2011-07-01,0,0,231.0916666666667,136.33333333333334
2011-07-02,0,0,231.13333333333335,138.5
2011-07-03,0,0,231.13333333333335,160.16666666666666
2011-07-04,0,0,231.13333333333335,102.5
2011-07-05,0,0,231.13333333333335,118.83333333333333
2011-07-06,0,0,231.13333333333335,114.0
2011-07-07,0,0,231.13333333333335,118.66666666666667
2011-07-08,0,0,231.13333333333335,127.5
2011-07-09,0,0,231.3983333333334,144.5
2011-07-10,0,0,231.3983333333334,155.16666666666666
2011-07-11,0,0,231.3983333333334,97.83333333333333
2011-07-12,0,0,231.3983333333334,76.83333333333333
2011-07-13,0,0,231.3983333333334,90.16666666666667
2011-07-14,0,0,231.3983333333334,92.33333333333333
2011-07-15,0,0,231.3983333333334,100.66666666666667
2011-07-16,0,0,231.6883333333334,140.5
2011-07-17,0,0,231.6883333333334,151.0
2011-07-18,0,0,231.6883333333334,112.16666666666667
2011-07-19,0,0,231.6883333333334,93.66666666666667
2011-07-20,0,0,231.6883333333334,91.33333333333333
2011-07-21,0,0,231.6883333333334,105.83333333333333
2011-07-22,0,0,231.6883333333334,126.66666666666667
2011-07-23,0,0,231.8666666666667,148.5
2011-07-24,0,0,231.8666666666667,135.33333333333334
2011-07-25,0,0,231.8666666666667,101.33333333333333
2011-07-26,0,0,231.8666666666667,80.66666666666667
2011-07-27,0,0,231.8666666666667,84.83333333333333
2011-07-28,0,0,231.8666666666667,98.5
2011-07-29,0,0,231.8666666666667,122.5
2011-07-30,0,0,234.02500000000006,129.5
2011-07-31,0,0,234.02500000000006,139.5
2011-08-01,0,0,234.02500000000006,113.66666666666667
2011-08-02,0,0,234.02500000000006,107.83333333333333
2011-08-03,0,0,234.02500000000006,109.0
2011-08-04,0,0,234.02500000000006,113.33333333333333
2011-08-05,0,0,234.02500000000006,125.83333333333333
2011-08-06,0,0,235.32166666666674,137.16666666666666
2011-08-07,0,0,235.32166666666674,145.83333333333334
2011-08-08,0,0,235.32166666666674,127.16666666666667
2011-08-09,0,0,235.32166666666674,109.83333333333333
2011-08-10,0,0,235.32166666666674,102.83333333333333
2011-08-11,0,0,235.32166666666674,100.0
2011-08-12,0,0,235.32166666666674,132.33333333333334
2011-08-13,0,0,235.54166666666674,145.66666666666666
2011-08-14,0,0,235.54166666666674,164.83333333333334
2011-08-15,0,0,235.54166666666674,117.33333333333333
